invoice_id,customer_id,amount,tax_amount,total_amount,status,due_date,date
104,7562,189982.65,24697.74,214680.39,pending,2025-09-12,2025-09-05
105,1671,124404.27,16172.56,140576.83,overdue,2024-05-10,2024-03-26
106,6335,185580.33,24125.44,209705.77,pending,2026-07-06,2026-06-06
107,2519,135129.52,17566.84,152696.36,pending,2026-04-10,2026-03-26
108,1424,2030.07,263.91,2293.98,paid,2026-03-25,2026-02-08
109,4572,141142.67,18348.55,159491.22,partial,2025-10-25,2025-08-26
110,9056,147371.29,19158.27,166529.56,paid,2025-05-23,2025-04-23
111,6356,51509.32,6696.21,58205.53,overdue,2025-12-15,2025-11-30
112,1214,30999.57,4029.94,35029.51,pending,2024-03-21,2024-03-14
113,3696,108720.08,14133.61,122853.69,pending,2025-04-10,2025-04-03
114,502,106977.85,13907.12,120884.97,paid,2024-02-21,2024-01-22
115,4562,10566.24,1373.61,11939.85,pending,2025-01-09,2024-11-25
116,9064,8087.72,1051.4,9139.12,pending,2025-11-22,2025-10-08
117,9692,167295.67,21748.44,189044.11,paid,2026-06-12,2026-05-13
118,3394,31758.9,4128.66,35887.56,paid,2025-07-19,2025-05-20
119,8423,37028.01,4813.64,41841.65,paid,2025-11-07,2025-10-31
120,2892,175531.64,22819.11,198350.75,pending,2024-10-06,2024-09-29
121,2861,30352.39,3945.81,34298.2,pending,2024-02-15,2024-01-16
122,3178,66798.8,8683.84,75482.64,pending,2024-08-14,2024-07-15
123,8794,45016.81,5852.19,50869.0,paid,2024-03-20,2024-02-19
124,2845,184602.32,23998.3,208600.62,pending,2024-04-03,2024-02-03
125,6218,109119.08,14185.48,123304.56,pending,2025-10-26,2025-09-26
126,6538,183295.04,23828.36,207123.4,pending,2026-05-11,2026-04-26
127,663,104151.04,13539.64,117690.68,paid,2026-05-04,2026-04-04
128,8291,13204.29,1716.56,14920.85,paid,2024-11-23,2024-10-24
129,446,72653.85,9445.0,82098.85,pending,2024-09-12,2024-08-13
130,7249,34126.99,4436.51,38563.5,pending,2024-08-28,2024-06-29
131,8415,189199.05,24595.88,213794.93,paid,2024-06-26,2024-06-19
132,4419,35459.54,4609.74,40069.28,paid,2024-05-09,2024-04-09
133,7601,167828.66,21817.73,189646.39,overdue,2025-12-30,2025-10-31
134,497,123772.73,16090.45,139863.18,paid,2025-05-08,2025-04-08
135,31,17097.5,2222.68,19320.18,overdue,2025-07-16,2025-07-01
136,100,22774.27,2960.66,25734.93,paid,2024-09-09,2024-08-10
137,3941,151296.7,19668.57,170965.27,partial,2026-02-17,2026-01-03
138,4325,191358.41,24876.59,216235.0,overdue,2025-02-27,2025-01-28
139,9639,162165.51,21081.52,183247.03,paid,2024-10-06,2024-09-29
140,3883,34290.96,4457.82,38748.78,overdue,2026-06-27,2026-06-12
141,7928,155530.74,20219.0,175749.74,paid,2025-10-23,2025-09-08
142,1651,127933.78,16631.39,144565.17,cancelled,2024-06-16,2024-05-17
143,2457,129034.55,16774.49,145809.04,paid,2024-02-13,2024-01-14
144,4464,113474.76,14751.72,128226.48,paid,2025-06-13,2025-06-06
145,9817,68335.07,8883.56,77218.63,paid,2024-12-27,2024-12-12
146,6339,183981.0,23917.53,207898.53,paid,2024-10-10,2024-08-11
147,3265,9433.16,1226.31,10659.47,pending,2024-07-17,2024-06-02
148,7965,122907.19,15977.93,138885.12,partial,2024-07-31,2024-07-16
149,7491,13233.29,1720.33,14953.62,partial,2024-06-19,2024-04-20
150,1109,194870.29,25333.14,220203.43,cancelled,2026-01-28,2025-11-29
151,1349,97111.87,12624.54,109736.41,paid,2026-04-29,2026-03-15
152,7374,47571.83,6184.34,53756.17,partial,2026-05-02,2026-04-02
153,333,93194.84,12115.33,105310.17,paid,2025-02-25,2025-02-18
154,3825,98239.91,12771.19,111011.1,pending,2026-07-24,2026-05-25
155,1576,43223.93,5619.11,48843.04,pending,2026-03-07,2026-02-20
156,364,196854.93,25591.14,222446.07,paid,2026-01-12,2025-11-28
157,5325,173067.5,22498.78,195566.28,pending,2024-03-10,2024-01-25
158,247,168777.81,21941.12,190718.93,pending,2025-03-12,2025-01-26
159,4820,34645.56,4503.92,39149.48,paid,2026-05-17,2026-05-10
160,7848,48923.84,6360.1,55283.94,pending,2025-09-29,2025-08-15
161,5687,187245.99,24341.98,211587.97,paid,2024-02-21,2024-01-07
162,2798,59979.38,7797.32,67776.7,cancelled,2024-07-23,2024-07-16
163,2012,170199.96,22125.99,192325.95,partial,2024-10-03,2024-09-03
164,2153,72604.8,9438.62,82043.42,pending,2024-08-01,2024-07-02
165,5238,83272.46,10825.42,94097.88,overdue,2025-03-14,2025-01-28
166,5772,196327.84,25522.62,221850.46,paid,2024-08-15,2024-07-31
167,5908,91499.04,11894.88,103393.92,partial,2025-02-16,2025-02-01
168,3290,95676.09,12437.89,108113.98,pending,2026-03-31,2026-02-14
169,8675,111595.93,14507.47,126103.4,pending,2025-08-18,2025-08-11
170,8858,153137.07,19907.82,173044.89,pending,2025-10-10,2025-09-25
171,5444,157852.7,20520.85,178373.55,overdue,2026-04-03,2026-02-02
172,2277,185758.2,24148.57,209906.77,overdue,2025-06-03,2025-05-19
173,3004,160477.89,20862.13,181340.02,partial,2025-02-10,2024-12-27
174,6959,49565.32,6443.49,56008.81,pending,2026-06-19,2026-04-20
175,36,192170.1,24982.11,217152.21,paid,2025-04-11,2025-02-25
176,2240,181836.74,23638.78,205475.52,overdue,2025-08-11,2025-07-27
177,5005,106678.55,13868.21,120546.76,paid,2024-12-29,2024-11-14
178,1807,79332.28,10313.2,89645.48,pending,2025-02-06,2024-12-08
179,1904,195695.7,25440.44,221136.14,paid,2025-11-10,2025-09-26
180,1928,139245.28,18101.89,157347.17,pending,2024-07-03,2024-05-04
181,6304,87439.17,11367.09,98806.26,partial,2026-01-04,2025-11-05
182,7787,130267.82,16934.82,147202.64,paid,2024-03-13,2024-02-12
183,6252,52328.98,6802.77,59131.75,cancelled,2025-09-29,2025-08-15
184,3205,112857.78,14671.51,127529.29,cancelled,2026-05-30,2026-04-30
185,4978,164444.28,21377.76,185822.04,overdue,2025-12-16,2025-10-17
186,6935,162581.4,21135.58,183716.98,pending,2025-10-19,2025-10-04
187,4436,54634.01,7102.42,61736.43,cancelled,2025-09-08,2025-07-10
188,9184,12249.2,1592.4,13841.6,pending,2026-05-24,2026-05-17
189,7109,29475.59,3831.83,33307.42,paid,2026-06-17,2026-06-10
190,800,46719.42,6073.52,52792.94,paid,2025-10-10,2025-09-10
191,7629,10678.96,1388.26,12067.22,partial,2024-04-24,2024-04-17
192,8138,118764.63,15439.4,134204.03,paid,2024-06-19,2024-05-05
193,2478,13468.74,1750.94,15219.68,paid,2024-05-05,2024-04-05
194,4312,109490.64,14233.78,123724.42,pending,2024-02-16,2024-01-17
195,9403,178434.09,23196.43,201630.52,paid,2025-03-16,2025-01-15
196,2992,174788.12,22722.46,197510.58,pending,2024-12-25,2024-12-10
197,9410,164886.38,21435.23,186321.61,overdue,2024-03-10,2024-01-10
198,2945,67017.45,8712.27,75729.72,partial,2024-08-22,2024-08-07
199,5773,146074.46,18989.68,165064.14,pending,2026-06-16,2026-06-01
200,2566,171764.21,22329.35,194093.56,partial,2025-11-08,2025-10-09
201,6431,117047.68,15216.2,132263.88,paid,2024-10-07,2024-08-23
202,796,41596.55,5407.55,47004.1,pending,2026-02-19,2026-02-04
203,1332,68277.74,8876.11,77153.85,overdue,2025-11-16,2025-09-17
204,2838,108313.77,14080.79,122394.56,partial,2024-03-31,2024-03-24
205,5896,72773.63,9460.57,82234.2,pending,2026-07-15,2026-05-16
206,9750,121590.78,15806.8,137397.58,pending,2025-03-23,2025-03-08
207,4823,101912.24,13248.59,115160.83,paid,2025-12-11,2025-10-27
208,5406,39876.77,5183.98,45060.75,pending,2025-08-07,2025-07-08
209,2303,55670.08,7237.11,62907.19,paid,2025-03-03,2025-01-02
210,6051,151452.14,19688.78,171140.92,cancelled,2026-06-04,2026-04-05
211,2907,46116.14,5995.1,52111.24,paid,2024-12-02,2024-11-02
212,6607,89402.19,11622.28,101024.47,pending,2024-12-10,2024-10-26
213,1192,154485.74,20083.15,174568.89,partial,2026-02-14,2025-12-31
214,8963,113927.24,14810.54,128737.78,overdue,2024-10-11,2024-10-04
215,6074,1027.01,133.51,1160.52,pending,2026-02-06,2026-01-22
216,3786,87005.39,11310.7,98316.09,partial,2024-04-28,2024-04-21
217,9619,52395.74,6811.45,59207.19,overdue,2026-06-19,2026-06-12
218,3561,198553.08,25811.9,224364.98,paid,2024-04-20,2024-03-21
219,2901,88498.79,11504.84,100003.63,cancelled,2026-02-04,2026-01-28
220,3819,160815.13,20905.97,181721.1,paid,2026-03-27,2026-01-26
221,9585,131716.23,17123.11,148839.34,paid,2026-03-30,2026-03-15
222,323,71683.76,9318.89,81002.65,overdue,2024-07-07,2024-05-23
223,4058,190377.49,24749.07,215126.56,overdue,2024-08-17,2024-08-02
224,5348,35792.81,4653.07,40445.88,pending,2025-02-12,2024-12-14
225,5975,80339.35,10444.12,90783.47,pending,2025-01-18,2025-01-03
226,5014,162817.56,21166.28,183983.84,pending,2025-05-25,2025-03-26
227,6590,161739.51,21026.14,182765.65,paid,2026-04-20,2026-02-19
228,6276,172146.54,22379.05,194525.59,overdue,2024-06-30,2024-05-31
229,2218,45889.83,5965.68,51855.51,paid,2025-08-10,2025-06-26
230,8547,58933.04,7661.3,66594.34,pending,2026-02-21,2026-02-14
231,5163,156446.96,20338.1,176785.06,pending,2024-03-25,2024-03-18
232,2662,77653.6,10094.97,87748.57,paid,2025-12-03,2025-11-03
233,1162,176142.42,22898.51,199040.93,pending,2024-10-11,2024-10-04
234,5255,4597.79,597.71,5195.5,pending,2025-11-09,2025-10-25
235,2332,96609.14,12559.19,109168.33,pending,2025-01-09,2024-12-25
236,4340,167877.54,21824.08,189701.62,overdue,2024-11-25,2024-09-26
237,4810,155449.61,20208.45,175658.06,overdue,2024-10-30,2024-09-15
238,5364,110691.73,14389.92,125081.65,partial,2025-09-08,2025-07-10
239,6234,123456.65,16049.36,139506.01,paid,2026-06-01,2026-05-17
240,159,64281.05,8356.54,72637.59,paid,2025-06-22,2025-06-15
241,9795,133159.0,17310.67,150469.67,pending,2025-04-13,2025-04-06
242,749,10679.86,1388.38,12068.24,cancelled,2024-03-16,2024-03-09
243,6291,97185.86,12634.16,109820.02,pending,2025-10-22,2025-10-15
244,2608,121582.08,15805.67,137387.75,paid,2024-11-26,2024-10-27
245,6387,45707.22,5941.94,51649.16,paid,2024-05-28,2024-05-21
246,5320,98155.7,12760.24,110915.94,pending,2026-04-20,2026-04-05
247,5212,66556.58,8652.36,75208.94,pending,2025-10-12,2025-09-12
248,1771,29310.49,3810.36,33120.85,paid,2025-03-11,2025-01-25
249,6825,28347.44,3685.17,32032.61,pending,2025-12-28,2025-11-13
250,3914,61076.94,7940.0,69016.94,paid,2026-06-08,2026-05-24
251,882,31293.08,4068.1,35361.18,pending,2025-04-10,2025-02-24
252,4094,164257.39,21353.46,185610.85,paid,2024-09-13,2024-07-30
253,4305,86473.87,11241.6,97715.47,paid,2024-07-25,2024-06-10
254,4446,121754.75,15828.12,137582.87,pending,2025-09-26,2025-09-11
255,5089,84568.32,10993.88,95562.2,paid,2025-03-08,2025-01-07
256,8850,31808.27,4135.08,35943.35,cancelled,2025-11-17,2025-10-03
257,9985,145349.51,18895.44,164244.95,overdue,2025-03-08,2025-02-06
258,5913,67890.36,8825.75,76716.11,paid,2024-12-30,2024-12-15
259,4644,135795.01,17653.35,153448.36,paid,2025-03-26,2025-02-24
260,9286,94186.13,12244.2,106430.33,paid,2025-04-15,2025-03-31
261,3950,96334.11,12523.43,108857.54,pending,2025-01-11,2025-01-04
262,7188,82453.76,10718.99,93172.75,overdue,2025-12-22,2025-12-07
263,6104,49825.55,6477.32,56302.87,paid,2026-03-06,2026-02-04
264,3947,101798.66,13233.83,115032.49,pending,2026-05-28,2026-04-13
265,6294,118116.34,15355.12,133471.46,pending,2025-04-27,2025-02-26
266,7641,70040.32,9105.24,79145.56,pending,2025-06-23,2025-05-09
267,2027,7002.95,910.38,7913.33,paid,2025-06-01,2025-04-17
268,2179,63168.54,8211.91,71380.45,pending,2024-06-06,2024-04-22
269,6377,108524.59,14108.2,122632.79,paid,2025-02-16,2025-01-02
270,1173,63887.79,8305.41,72193.2,paid,2024-07-22,2024-07-07
271,2798,129849.68,16880.46,146730.14,paid,2025-04-02,2025-03-18
272,6016,190974.97,24826.75,215801.72,partial,2025-02-28,2025-02-13
273,7419,167013.0,21711.69,188724.69,paid,2025-11-14,2025-11-07
274,8576,187103.61,24323.47,211427.08,partial,2026-06-15,2026-05-01
275,9132,195017.22,25352.24,220369.46,paid,2026-01-31,2025-12-02
276,8904,195716.6,25443.16,221159.76,paid,2025-11-13,2025-10-29
277,9500,46164.04,6001.33,52165.37,partial,2026-01-26,2026-01-11
278,8211,69339.27,9014.11,78353.38,paid,2024-05-12,2024-04-12
279,9552,10080.22,1310.43,11390.65,paid,2026-01-15,2026-01-08
280,8559,90047.61,11706.19,101753.8,paid,2024-07-09,2024-05-10
281,9577,138724.24,18034.15,156758.39,overdue,2025-07-17,2025-07-10
282,683,37810.16,4915.32,42725.48,paid,2024-11-01,2024-09-17
283,8842,121989.88,15858.68,137848.56,overdue,2026-02-19,2026-01-05
284,5718,190984.14,24827.94,215812.08,pending,2024-02-26,2024-02-11
285,9251,140227.27,18229.55,158456.82,paid,2025-10-10,2025-10-03
286,9380,81109.37,10544.22,91653.59,cancelled,2025-09-19,2025-08-20
287,4900,62506.22,8125.81,70632.03,pending,2024-05-19,2024-03-20
288,3475,135583.76,17625.89,153209.65,paid,2024-12-11,2024-10-12
289,6927,61080.49,7940.46,69020.95,paid,2025-11-06,2025-09-07
290,1786,105995.87,13779.46,119775.33,overdue,2025-05-16,2025-05-09
291,7283,45843.04,5959.6,51802.64,pending,2025-07-10,2025-06-10
292,6283,7233.93,940.41,8174.34,pending,2026-04-01,2026-01-31
293,8965,144900.76,18837.1,163737.86,partial,2024-09-12,2024-08-28
294,8457,8657.25,1125.44,9782.69,paid,2024-11-17,2024-10-18
295,1162,177825.58,23117.33,200942.91,overdue,2024-05-12,2024-05-05
296,3931,66108.65,8594.12,74702.77,pending,2025-12-05,2025-10-21
297,5193,150064.58,19508.4,169572.98,paid,2024-03-19,2024-01-19
298,2884,181279.99,23566.4,204846.39,paid,2026-06-15,2026-04-16
299,7314,15996.56,2079.55,18076.11,paid,2024-10-28,2024-09-28
300,2883,77927.04,10130.52,88057.56,cancelled,2024-12-31,2024-11-16
301,1276,77957.67,10134.5,88092.17,paid,2024-09-01,2024-07-03
302,636,162035.58,21064.63,183100.21,cancelled,2026-02-13,2026-01-29
303,9993,159609.94,20749.29,180359.23,paid,2025-01-30,2024-12-31
304,9768,117207.14,15236.93,132444.07,partial,2024-09-13,2024-07-15
305,9446,58608.13,7619.06,66227.19,paid,2026-01-30,2025-12-01
306,3044,115573.01,15024.49,130597.5,pending,2026-07-19,2026-05-20
307,9305,174114.21,22634.85,196749.06,paid,2025-03-04,2025-01-03
308,7924,93228.52,12119.71,105348.23,pending,2024-05-08,2024-04-08
309,4570,2330.55,302.97,2633.52,pending,2026-02-09,2025-12-26
310,6628,170930.24,22220.93,193151.17,paid,2026-01-02,2025-11-03
311,3067,31278.28,4066.18,35344.46,overdue,2024-01-29,2024-01-22
312,2217,67516.3,8777.12,76293.42,paid,2025-07-12,2025-05-13
313,6108,99245.37,12901.9,112147.27,pending,2026-03-25,2026-03-10
314,1808,27063.38,3518.24,30581.62,overdue,2024-09-20,2024-08-21
315,8437,96591.32,12556.87,109148.19,pending,2024-01-18,2024-01-03
316,3551,155471.95,20211.35,175683.3,pending,2026-06-27,2026-05-28
317,1530,155852.36,20260.81,176113.17,paid,2024-09-10,2024-09-03
318,3920,171380.3,22279.44,193659.74,pending,2024-05-25,2024-03-26
319,7263,91665.63,11916.53,103582.16,cancelled,2025-12-15,2025-11-15
320,3110,56240.28,7311.24,63551.52,pending,2026-03-06,2026-02-27
321,9570,83440.42,10847.25,94287.67,pending,2026-06-03,2026-04-19
322,9484,95418.69,12404.43,107823.12,paid,2025-02-14,2025-02-07
323,4138,114043.65,14825.67,128869.32,pending,2025-08-02,2025-07-18
324,713,27595.32,3587.39,31182.71,partial,2026-02-11,2026-01-12
325,7577,9555.26,1242.18,10797.44,overdue,2025-06-16,2025-06-01
326,5437,155764.0,20249.32,176013.32,paid,2024-03-11,2024-02-25
327,2762,170041.08,22105.34,192146.42,overdue,2024-05-03,2024-04-18
328,7938,121019.51,15732.54,136752.05,pending,2025-03-09,2025-02-07
329,5500,45951.83,5973.74,51925.57,paid,2025-10-10,2025-09-25
330,9734,9072.4,1179.41,10251.81,partial,2026-06-12,2026-05-13
331,4044,118896.74,15456.58,134353.32,partial,2025-04-24,2025-04-09
332,5629,115755.96,15048.27,130804.23,paid,2026-07-15,2026-05-16
333,9471,149337.45,19413.87,168751.32,paid,2024-06-20,2024-05-21
334,7838,182659.22,23745.7,206404.92,paid,2026-05-22,2026-05-15
335,1080,169304.54,22009.59,191314.13,paid,2025-12-27,2025-11-12
336,805,14779.72,1921.36,16701.08,paid,2024-08-27,2024-08-20
337,9968,85124.12,11066.14,96190.26,paid,2024-07-15,2024-06-30
338,332,164386.84,21370.29,185757.13,overdue,2025-01-08,2025-01-01
339,5506,172415.57,22414.02,194829.59,pending,2026-05-06,2026-04-29
340,1371,180224.29,23429.16,203653.45,paid,2025-12-30,2025-12-23
341,5486,138210.02,17967.3,156177.32,paid,2025-09-27,2025-09-12
342,5757,131601.23,17108.16,148709.39,paid,2025-05-16,2025-05-01
343,4009,45046.45,5856.04,50902.49,pending,2026-02-28,2026-01-29
344,8790,33440.84,4347.31,37788.15,paid,2025-11-09,2025-09-10
345,5586,105725.73,13744.34,119470.07,partial,2024-08-14,2024-06-15
346,2926,134418.87,17474.45,151893.32,paid,2024-11-21,2024-11-14
347,6934,166376.1,21628.89,188004.99,pending,2025-04-24,2025-04-09
348,8247,113403.86,14742.5,128146.36,paid,2024-02-15,2024-02-08
349,783,53916.31,7009.12,60925.43,paid,2024-04-30,2024-03-31
350,3837,151780.1,19731.41,171511.51,paid,2025-02-10,2024-12-27
351,4645,63305.64,8229.73,71535.37,paid,2024-10-29,2024-10-22
352,9897,125429.28,16305.81,141735.09,pending,2024-09-30,2024-09-23
353,4006,130376.76,16948.98,147325.74,overdue,2025-08-11,2025-08-04
354,2876,85285.86,11087.16,96373.02,paid,2024-12-15,2024-10-31
355,5113,28560.4,3712.85,32273.25,overdue,2025-03-06,2025-01-05
356,3431,171868.62,22342.92,194211.54,paid,2025-10-31,2025-10-16
357,585,146430.01,19035.9,165465.91,paid,2025-04-14,2025-02-28
358,156,31026.26,4033.41,35059.67,paid,2024-09-30,2024-09-15
359,4435,149612.62,19449.64,169062.26,paid,2024-02-26,2024-01-27
360,2800,59779.52,7771.34,67550.86,pending,2025-09-21,2025-08-22
361,8884,8305.72,1079.74,9385.46,pending,2024-03-29,2024-03-22
362,2897,128391.92,16690.95,145082.87,pending,2025-03-17,2025-01-31
363,8903,9203.44,1196.45,10399.89,paid,2024-04-25,2024-02-25
364,5207,130097.27,16912.65,147009.92,paid,2026-02-14,2026-01-15
365,96,195162.14,25371.08,220533.22,paid,2024-11-14,2024-09-30
366,7579,73153.05,9509.9,82662.95,paid,2024-07-26,2024-06-11
367,9413,146840.42,19089.25,165929.67,pending,2024-08-09,2024-07-25
368,8317,84786.59,11022.26,95808.85,overdue,2025-08-17,2025-08-10
369,709,20535.46,2669.61,23205.07,pending,2025-03-07,2025-01-21
370,9943,135766.29,17649.62,153415.91,paid,2024-02-23,2024-02-08
371,5019,39232.23,5100.19,44332.42,cancelled,2024-11-18,2024-11-11
372,6800,125564.67,16323.41,141888.08,pending,2024-12-22,2024-10-23
373,9740,180578.17,23475.16,204053.33,paid,2024-03-01,2024-02-15
374,9174,76370.53,9928.17,86298.7,pending,2024-07-26,2024-06-26
375,5955,173487.59,22553.39,196040.98,partial,2024-07-25,2024-06-10
