sale_id,customer_id,product_id,quantity,amount,date
46,7037,3618,4,24136.28,2024-12-30
47,2038,2973,6,292816.92,2026-05-20
48,2197,1311,1,15203.96,2024-11-20
49,8511,748,15,721118.1,2025-11-10
50,5578,3383,2,62050.48,2025-06-26
51,9889,2321,15,319038.15,2024-09-08
52,1695,1353,18,333150.12,2026-05-18
53,6401,1279,9,91810.08,2026-03-29
54,2413,1461,19,831996.32,2025-10-10
55,8906,1481,11,452686.3,2024-06-24
56,7013,3348,12,165500.88,2026-05-09
57,910,2206,17,229271.18,2024-09-16
58,4677,4437,7,243920.18,2024-08-11
59,4963,2757,10,476778.7,2026-04-17
60,277,3617,4,139075.8,2024-05-11
61,905,4653,9,31327.92,2025-05-26
62,6350,1392,7,64676.36,2025-09-03
63,905,4164,16,429714.88,2025-05-21
64,5147,4191,18,873720.0,2025-01-03
65,8063,3884,14,511579.04,2024-02-26
66,5491,1147,2,84809.62,2024-10-17
67,6506,668,15,502651.95,2025-03-18
68,6196,4180,11,293907.35,2026-04-01
69,4537,1383,12,221930.28,2024-03-27
70,8776,4737,7,40251.96,2024-04-27
71,8271,2201,4,142310.76,2025-04-12
72,8906,1631,7,312620.49,2025-12-07
73,7176,139,13,273871.91,2024-05-04
74,1361,2795,10,3367.8,2024-08-21
75,1985,4544,7,242378.43,2024-03-23
76,4973,4294,12,181658.88,2025-04-26
77,215,708,6,162331.92,2024-09-13
78,9161,3602,17,407329.86,2024-12-09
79,8589,725,6,166161.36,2024-03-11
80,3605,4096,10,105035.6,2026-02-11
81,7659,3658,3,130271.28,2024-09-22
82,1668,530,1,17455.08,2024-06-06
83,6284,3715,16,593140.32,2025-09-05
84,1281,1506,14,556906.0,2025-12-02
85,6831,1425,7,117191.69,2025-04-18
86,6756,3855,9,374532.84,2024-05-03
87,2542,1744,19,671399.96,2025-04-24
88,9194,1934,6,207096.24,2025-06-08
89,7584,3417,1,45963.97,2024-02-27
90,9959,1464,15,244593.9,2025-08-15
91,4501,3313,16,146812.0,2026-04-17
92,6669,3601,15,664710.45,2026-01-08
93,9207,2689,16,26304.8,2025-05-21
94,4172,3705,18,600674.4,2024-01-05
95,7799,3870,6,174483.96,2024-10-12
96,5941,1477,9,40265.46,2025-09-29
97,278,3138,12,301016.76,2024-10-22
98,1600,4417,4,87802.8,2024-10-22
99,3513,2054,5,61351.8,2025-08-12
100,5038,2387,12,124120.92,2024-09-24
101,2886,4396,16,59816.32,2025-09-18
102,6248,178,12,100264.08,2025-06-20
103,2130,2914,3,148764.33,2025-08-16
104,1969,817,2,89221.62,2026-03-18
105,7158,595,15,40042.95,2024-08-16
106,6533,2840,7,297904.32,2024-10-30
107,77,1183,15,664452.45,2024-11-05
108,2153,563,16,487556.16,2025-01-07
109,5633,1219,11,101616.57,2024-06-23
110,1098,4159,5,127930.05,2024-01-20
111,114,1581,13,365195.09,2025-11-11
112,2435,4182,18,442310.58,2025-08-31
113,5755,732,8,258192.32,2024-08-21
114,6533,2994,2,21209.18,2025-02-21
115,9668,829,15,532368.3,2026-04-12
116,7164,4183,16,140978.56,2025-07-02
117,5846,3445,3,36580.71,2025-10-21
118,5691,252,4,56153.76,2024-02-05
119,8651,4977,17,80559.94,2026-01-05
120,2648,634,20,472694.0,2025-06-26
121,4079,4213,8,209917.52,2024-05-31
122,9218,4455,5,113361.8,2024-08-23
123,3730,1568,7,272208.44,2024-01-03
124,7631,101,1,41338.2,2024-12-16
125,3040,360,9,310783.95,2025-04-06
126,7667,1309,4,87378.36,2025-09-17
127,4015,703,1,7349.03,2025-06-06
128,5886,3966,7,294032.41,2025-12-03
129,8580,3205,10,113802.8,2026-01-05
130,4153,4609,1,36101.17,2024-07-28
131,6861,1989,4,99905.68,2024-06-02
132,3673,891,7,64824.83,2025-07-25
133,8255,3165,8,248315.92,2025-03-28
134,8843,601,11,86970.62,2025-03-17
135,7276,4708,6,219151.92,2026-03-27
136,7792,4465,16,610460.0,2026-03-16
137,9606,619,11,322855.94,2025-09-06
138,4037,4789,1,46271.6,2026-01-29
139,2556,161,13,31493.02,2024-01-11
140,6671,2276,19,887801.79,2024-11-29
141,5075,3153,19,596432.61,2024-07-15
142,6955,1832,13,422296.03,2025-09-17
143,7338,4883,2,50064.52,2026-05-07
144,7191,1927,3,99552.78,2025-03-04
145,101,4229,10,409119.6,2024-09-10
146,4186,2896,20,600478.2,2025-06-26
147,6781,2861,14,526555.96,2024-11-02
148,4777,4647,19,324500.43,2026-02-16
149,8657,1577,9,449075.7,2024-01-23
150,5976,4883,15,679210.2,2025-04-22
151,9466,182,5,232793.75,2024-03-03
152,9824,1192,8,80718.48,2026-01-10
153,6772,4559,9,57474.72,2026-04-13
154,7363,1380,1,19630.9,2025-09-10
155,5261,3621,1,40886.06,2024-03-23
156,1208,908,14,558633.88,2025-12-20
157,4309,332,15,210797.25,2025-02-01
158,3919,4147,3,64914.27,2025-05-10
159,6748,1778,6,103665.9,2025-02-12
160,1257,4854,17,450481.3,2025-05-19
161,9954,4432,3,22487.01,2025-12-20
162,228,4039,14,283020.22,2025-07-29
163,5023,2890,13,105304.94,2024-05-06
164,7202,2385,17,837943.94,2025-09-28
165,6164,4941,5,121568.9,2025-12-25
166,5685,3166,13,279887.53,2025-10-24
167,9661,4020,3,25323.15,2025-03-01
168,4303,3077,18,332583.48,2025-11-17
169,2009,930,15,545095.2,2025-04-26
170,7294,3397,1,40989.87,2025-07-02
171,1383,2478,3,29773.83,2024-12-30
172,7956,1420,7,246712.55,2025-05-13
173,2475,2731,17,387840.04,2026-02-09
174,7967,458,16,119002.88,2024-09-21
175,8006,3387,18,786191.76,2025-08-24
176,3290,4235,7,180006.12,2024-02-13
177,7571,3643,7,273350.98,2024-04-22
178,1136,2276,19,362416.45,2024-01-04
179,6369,3491,2,60891.94,2024-10-03
180,9346,2102,2,81802.58,2025-11-23
181,2009,2376,15,434229.9,2025-04-05
182,3481,1776,12,293319.36,2026-05-20
183,8084,3419,8,312420.16,2024-08-13
184,1378,3243,3,42262.71,2025-09-04
185,274,2021,14,329661.78,2025-01-28
186,749,1058,19,907314.22,2024-08-08
187,6102,2831,7,73041.5,2026-02-15
188,3025,2718,4,88260.16,2024-07-15
189,1207,2021,14,253542.8,2024-02-09
190,4372,2700,2,60257.64,2024-12-14
191,641,3533,17,525047.89,2024-06-29
192,9261,3124,10,213415.4,2024-04-21
193,9821,779,11,50151.53,2024-05-22
194,1651,220,1,33585.78,2024-01-28
195,8430,4094,5,178469.7,2024-03-01
196,2294,4931,20,499354.8,2024-08-21
197,3623,984,13,247384.8,2025-08-13
198,9213,2180,13,16687.32,2025-12-02
199,5763,2213,4,144623.36,2025-06-05
200,4282,4777,12,563955.24,2025-07-23
201,9904,2328,18,844992.18,2026-01-18
202,5780,1305,14,412322.68,2024-06-25
203,3749,2784,11,205995.57,2026-01-09
204,5590,788,5,94945.5,2024-09-03
205,771,3762,1,20803.85,2025-12-04
206,5453,4857,8,678.88,2026-05-25
207,1300,4114,10,95418.9,2024-10-26
208,4299,1290,20,280730.8,2026-02-03
209,2518,713,12,139217.52,2025-11-28
210,4034,1563,18,286797.96,2024-09-09
211,2445,3601,12,527515.44,2025-03-15
212,6114,2647,19,74086.89,2025-10-25
213,6059,4338,16,354026.24,2024-08-13
214,6709,404,2,62870.44,2024-03-24
215,1729,1703,18,535329.9,2024-12-18
216,4910,3758,17,743921.87,2026-01-29
217,8897,1843,13,600995.33,2024-10-10
218,5607,3443,9,257759.64,2024-12-05
219,8069,3943,14,221611.74,2026-02-11
220,7300,1086,9,335433.6,2025-08-30
221,3679,2834,14,343712.46,2025-08-08
222,7186,974,10,39521.8,2026-02-18
223,3803,4318,13,303257.5,2025-11-24
224,1912,1423,11,241222.08,2024-06-13
225,3356,2397,17,325513.11,2025-03-15
226,1245,2506,10,249326.0,2026-05-27
227,8317,554,9,213029.91,2025-04-01
228,2727,2693,20,763791.4,2026-05-17
229,4734,2012,5,215781.6,2025-08-20
230,8764,4642,2,93896.12,2024-12-26
231,7281,1157,11,447262.42,2026-04-08
232,4438,4110,5,35805.3,2024-07-01
233,1186,4325,13,439772.97,2025-06-26
234,2450,1147,18,196783.92,2024-05-28
235,4510,1198,20,60589.2,2025-10-16
236,5574,4438,7,290886.75,2024-04-14
237,5473,1886,19,182349.46,2026-03-15
238,5093,3443,13,45098.95,2025-07-05
239,4057,754,20,914045.2,2025-04-28
240,5371,3939,16,692357.76,2025-11-16
241,5512,623,7,324630.88,2024-03-10
242,3622,4742,17,787918.21,2024-11-08
243,301,2384,4,14399.04,2025-08-03
244,7716,3841,4,76557.32,2026-03-20
245,912,217,14,471300.76,2024-06-01
246,1899,1147,1,3996.3,2024-09-13
247,632,3007,12,17980.2,2024-02-15
248,1110,3092,11,231563.97,2024-03-08
249,2743,3865,2,92364.7,2026-02-11
250,8445,2347,4,65640.72,2026-03-23
251,5506,2521,18,632019.78,2025-08-17
252,8408,1811,19,563901.57,2024-07-19
253,2917,2202,12,239781.6,2026-02-13
254,9020,2226,1,15801.79,2024-10-12
255,6714,4853,10,151510.2,2024-08-26
256,5186,3793,7,235571.56,2024-11-20
257,6383,3413,4,77372.64,2025-08-09
258,5211,3141,14,341072.9,2025-06-14
259,2228,4359,17,827618.65,2024-08-06
260,204,2619,1,14960.71,2024-07-31
261,6453,374,12,425209.8,2025-05-29
262,6826,2597,14,545532.96,2024-05-27
263,8090,3129,16,707504.0,2026-01-21
264,165,4132,4,64564.32,2025-12-23
265,1181,561,11,533130.29,2025-05-26
266,3902,1041,10,360410.8,2025-08-16
267,7218,2520,11,30515.21,2024-10-19
268,5897,1064,13,208681.85,2026-03-04
269,785,1487,19,26233.11,2024-08-09
270,2165,3306,18,605312.82,2025-04-14
271,6123,4577,9,280347.93,2024-02-11
272,4451,2535,9,2989.71,2024-09-07
273,5380,1500,20,317216.2,2025-09-02
274,7391,3928,9,426460.32,2024-12-09
275,8010,202,18,331589.7,2024-07-11
276,618,961,18,145569.6,2025-01-05
277,9394,2606,18,369301.86,2025-08-11
278,6140,4782,17,215349.37,2025-05-13
279,2800,1725,2,592.84,2026-02-10
280,9050,3153,16,595751.36,2026-05-09
281,8391,3391,20,122121.0,2024-06-05
282,7806,2270,10,8756.8,2025-01-29
283,5861,253,7,87209.43,2024-07-24
284,7946,2830,3,42644.55,2024-07-23
285,1498,2008,16,610846.56,2024-11-09
286,4725,1533,13,341005.86,2024-01-06
287,2453,3798,17,347747.24,2024-03-23
288,2390,3190,9,253863.54,2026-04-08
289,6453,3369,1,12279.2,2024-03-05
290,8091,2764,5,216630.7,2025-11-18
291,4650,1310,16,387302.4,2025-04-14
292,3935,1746,16,453412.0,2024-05-30
293,4064,1030,11,45288.43,2024-06-17
294,8737,3000,9,389967.21,2025-09-15
295,5728,1357,3,78399.36,2025-08-30
296,2307,3801,6,28753.2,2024-03-02
297,8108,1038,7,33411.7,2026-05-12
298,5336,2391,19,756028.81,2025-08-17
299,16,4976,8,23113.6,2025-11-07
300,3050,1465,20,48045.0,2025-10-05
301,9544,4621,16,652632.8,2024-09-27
302,9444,324,2,94986.98,2024-01-22
303,8097,2268,20,202086.6,2024-01-09
304,9326,1951,10,147595.9,2026-05-08
305,4000,3560,7,57631.42,2024-10-26
306,5353,4206,4,24115.48,2024-02-02
307,9054,726,7,264491.99,2024-06-08
308,8480,874,11,246726.59,2024-04-22
309,8858,3097,4,11384.92,2025-08-21
310,6617,1594,10,87320.4,2026-05-29
311,8644,3004,3,135443.61,2025-03-07
312,1418,1536,13,390567.45,2026-05-19
313,9153,4772,16,192073.12,2026-05-26
314,7664,3742,14,401038.82,2025-12-13
315,3596,1602,15,637224.3,2024-12-15
316,3158,2359,2,38101.96,2026-03-11
317,9024,993,13,165972.95,2026-01-25
318,4629,4320,4,99455.16,2024-03-06
319,6023,4441,11,548652.83,2024-05-11
320,5485,1345,2,55684.02,2025-11-29
321,5953,4976,7,234499.65,2026-01-20
322,1542,408,5,173288.45,2026-02-24
323,1050,1114,4,158055.04,2024-07-17
324,7751,2998,1,31489.71,2025-05-26
325,8108,1323,20,692879.4,2024-01-18
326,9516,3041,20,969201.2,2024-12-30
327,6932,3927,2,16170.94,2025-12-01
328,9983,2917,15,260336.4,2026-05-30
329,6505,1111,4,149902.6,2024-07-06
330,4720,2196,18,211697.82,2025-08-23
331,395,2440,2,72421.86,2024-11-14
332,5035,4387,2,14295.52,2026-05-20
333,3604,4927,13,391538.29,2024-10-07
334,1505,1632,2,890.82,2026-02-13
335,7195,4161,16,375511.52,2025-02-16
336,1330,2452,19,640705.08,2025-04-08
337,1074,3103,11,41133.51,2024-07-18
338,1056,577,11,368472.83,2024-11-22
339,5883,1935,2,57226.82,2024-11-06
340,6282,4606,2,97432.38,2024-10-21
341,516,416,9,61480.62,2025-07-16
342,1732,1257,2,75351.72,2026-05-11
343,7786,4312,13,229598.85,2024-02-05
344,3344,2433,10,163013.4,2025-02-15
345,6000,2882,3,115711.29,2025-02-21
346,5188,2751,13,95810.26,2024-04-09
347,5756,2877,15,336015.45,2025-03-02
348,2575,3227,17,294558.66,2024-09-25
349,299,2727,17,623899.49,2024-09-22
350,9065,4842,18,57986.1,2024-06-19
351,764,2412,14,678156.36,2024-11-20
352,2034,927,18,34360.74,2025-05-12
353,7592,1082,12,33471.84,2026-05-13
354,4976,2795,19,765922.3,2025-05-07
355,4048,2928,20,68666.8,2024-04-02
356,4342,3233,1,865.81,2024-02-29
357,3165,3173,6,148452.6,2024-07-20
358,342,4264,8,364226.88,2026-01-01
359,7739,2273,3,120240.03,2024-02-29
360,6569,1460,3,12754.44,2024-06-22
361,7084,3049,2,60976.14,2024-12-10
362,7623,2401,13,7926.75,2024-01-21
363,9757,715,16,129051.68,2025-04-03
364,8005,881,16,125514.24,2024-07-09
365,9065,692,19,148674.05,2026-05-03
366,5611,3614,20,256503.4,2024-01-15
367,6206,125,18,518681.88,2024-04-07
368,3344,999,18,222435.36,2024-07-25
369,4656,917,7,249011.07,2024-07-05
370,7302,4306,12,76867.8,2026-06-07
371,7580,219,2,99376.24,2026-02-01
372,9919,3347,8,204229.36,2024-11-15
373,5807,4066,3,108986.25,2026-05-24
374,7679,2112,15,508467.75,2024-05-10
375,3694,3586,16,456702.88,2025-04-04
376,6872,3514,16,122748.48,2024-08-17
377,3007,3191,13,499763.55,2024-05-18
378,270,1387,15,367846.2,2024-09-02
379,4672,3645,12,323225.28,2024-04-09
380,2745,3448,6,45526.38,2025-03-12
381,1458,3933,3,6839.58,2024-11-23
382,6202,3871,10,274828.7,2024-09-30
383,5763,199,2,44369.98,2024-08-21
384,5641,4031,14,383526.78,2026-03-24
385,7504,2106,17,784273.24,2024-03-15
386,1161,287,5,62328.65,2025-07-25
387,290,4455,13,362553.88,2025-03-07
388,2158,4943,19,465018.35,2025-02-17
389,1480,2723,15,218056.35,2025-12-06
390,3614,2655,14,93580.76,2024-04-04
391,9995,358,1,35113.74,2024-06-18
392,1793,344,10,401556.4,2024-12-16
393,1007,3234,16,797622.56,2026-01-06
394,4185,2741,18,738708.84,2026-06-11
395,2082,3770,9,77218.11,2024-10-11
396,5925,3908,6,231106.02,2026-01-06
397,9816,1492,16,281338.24,2025-06-18
398,2729,31,5,73258.5,2024-01-22
399,835,3271,8,330438.4,2024-12-01
400,2664,2429,10,255363.3,2026-01-12
401,7909,1880,15,93040.35,2026-06-04
402,5881,1215,18,815125.68,2025-04-21
403,4882,3795,12,71639.52,2025-05-23
404,6942,4918,10,48696.7,2024-01-15
405,3000,718,13,219802.57,2026-01-03
406,4338,3702,7,98437.85,2026-04-09
407,5212,1347,18,806130.18,2025-10-07
408,3266,1783,13,384139.34,2026-05-17
409,3134,2098,4,102362.08,2025-05-01
410,17,3375,14,143375.96,2025-08-17
411,8865,2231,18,311832.18,2026-05-14
412,7155,1740,18,858435.12,2024-10-06
413,413,3677,2,98308.66,2025-12-13
414,9456,1977,14,397867.68,2024-06-16
415,4461,1183,10,424938.0,2026-01-05
416,1691,2017,4,80497.52,2024-03-09
417,5807,1498,20,616273.4,2024-09-12
418,6345,1363,11,407593.67,2025-02-27
419,7744,3580,11,204898.65,2024-02-23
420,3357,1939,10,203687.8,2025-10-01
421,4163,4258,4,111150.88,2025-12-23
422,5162,1113,13,416414.96,2026-01-10
423,8581,303,1,7574.83,2025-03-18
424,81,1133,19,17071.31,2024-04-05
425,5299,4404,17,836536.34,2025-08-19
426,170,1879,16,745232.0,2025-09-05
427,4306,425,2,55799.2,2024-07-01
428,1523,2858,4,34002.28,2026-06-02
429,8146,1188,12,85060.2,2024-08-31
430,4738,3454,16,166191.2,2024-08-30
431,9102,2308,11,188107.37,2025-08-18
432,431,2609,17,143472.01,2024-06-20
433,5092,716,16,637180.8,2025-03-22
434,4542,2191,5,172692.8,2026-02-13
435,4145,2697,12,352743.72,2024-01-14
436,3154,2585,18,460038.06,2024-09-11
437,1044,3072,2,38816.98,2025-03-21
438,6707,3117,7,184139.69,2026-04-05
439,2465,3176,4,22956.76,2026-04-10
440,2127,1135,3,74430.96,2025-11-28
441,6240,1999,4,22422.6,2025-11-08
442,787,537,4,197148.72,2025-03-20
443,813,1539,6,288601.86,2024-02-06
444,6525,1659,18,785992.32,2026-01-29
445,3582,3992,5,13593.7,2025-03-01
446,4879,4083,12,355039.44,2024-07-01
447,3227,801,20,424997.6,2024-03-14
448,151,3771,14,661804.92,2026-03-16
449,9005,124,3,21166.89,2024-12-10
450,5696,4956,6,125601.72,2024-11-19
451,1583,922,8,191162.64,2024-03-08
452,7650,3600,2,6841.0,2025-04-19
453,7870,1084,18,660069.54,2026-04-24
454,2838,3873,5,24966.6,2026-01-19
455,5033,4706,6,17594.58,2025-09-17
456,8625,3516,3,51302.52,2024-11-27
457,1475,3682,3,102950.7,2026-01-04
458,7249,1014,17,72625.87,2025-03-16
459,4988,1973,11,308392.7,2025-07-24
460,9725,816,4,98730.64,2025-10-11
461,8435,377,6,234810.48,2024-11-11
462,4296,3344,18,488856.24,2024-06-01
463,612,2669,19,59371.96,2025-07-24
464,3377,1417,20,570593.0,2024-10-28
465,3759,2270,20,745516.6,2026-01-01
466,5560,589,11,291494.83,2024-08-01
467,7396,1151,15,81790.2,2024-06-24
468,7201,746,9,444437.73,2025-03-26
469,7353,4311,15,353012.1,2024-02-29
470,3951,3813,11,373587.94,2025-10-28
471,6871,4953,20,433632.6,2026-05-10
472,1656,4664,8,313995.28,2025-11-30
473,9162,415,15,412511.25,2025-03-19
474,4228,3448,4,35682.52,2024-03-09
475,7927,4176,11,310826.01,2025-04-06
476,5771,2079,7,91940.87,2025-12-05
477,79,1241,19,75549.13,2025-07-29
478,6678,2260,12,252022.56,2024-10-17
479,2306,2692,5,160753.85,2025-05-27
480,2918,24,5,24053.7,2025-03-17
481,3926,250,19,766929.11,2026-01-05
482,467,3277,12,539154.72,2025-05-06
483,6257,1235,6,77537.58,2024-03-06
484,4959,3787,13,284234.34,2024-01-11
485,9920,3271,11,349382.88,2025-05-06
486,5721,4485,8,396665.68,2025-06-14
487,7105,4024,16,134385.76,2025-08-27
488,8160,2030,1,29485.41,2024-10-23
489,4554,894,15,611700.0,2024-04-28
490,4152,3158,3,77570.85,2024-10-10
491,969,2721,10,217601.2,2024-04-08
492,1379,4278,18,203639.4,2026-04-18
493,2648,1948,15,248389.2,2026-02-24
494,4859,4310,9,23075.46,2024-11-21
495,8513,3347,11,520666.41,2025-10-22
496,8064,3055,7,287547.89,2025-05-15
497,2057,2609,18,443671.74,2025-08-06
498,5893,3903,20,709169.4,2024-01-27
499,4536,2954,6,43414.5,2024-06-13
500,7742,3777,20,266448.6,2025-04-23
501,5208,4666,17,524200.78,2024-10-07
502,4987,1318,14,283461.92,2026-02-14
503,4540,1306,11,74275.52,2026-05-02
504,4464,2944,9,29479.59,2026-05-02
505,9341,2203,18,516590.82,2026-03-10
506,8588,4109,5,154850.05,2024-10-30
507,3877,3352,4,9689.88,2025-03-20
508,4090,3826,11,366158.21,2025-05-17
509,3626,4470,13,143177.19,2024-05-28
510,5978,4561,6,114713.7,2026-01-31
511,6793,4444,16,617146.4,2024-09-30
512,8468,4752,16,288545.76,2025-03-27
513,3861,914,5,206273.5,2024-07-18
514,9086,2299,8,198989.44,2024-10-15
515,9261,2328,20,32504.6,2025-06-24
516,5032,4911,6,227649.48,2024-03-06
517,462,695,12,367393.8,2025-02-28
518,3874,1914,7,165370.1,2024-06-27
519,8800,2999,8,147678.32,2025-03-05
520,9059,4250,6,97859.88,2024-12-21
521,9116,3714,19,568630.48,2026-04-18
522,6112,3825,16,479440.32,2024-08-27
523,544,3938,13,528734.44,2024-02-10
524,2224,4621,11,339451.2,2024-05-29
525,7571,2806,1,43736.03,2024-01-20
526,1643,3555,3,104144.34,2026-04-30
527,6368,4785,2,67545.3,2024-03-27
528,5449,4796,11,170240.51,2025-12-01
529,1247,1335,18,551257.56,2025-03-04
530,6690,3678,14,347226.88,2025-12-13
531,625,1366,6,128905.98,2026-03-16
532,9876,3358,15,472105.65,2024-04-26
533,6285,1038,9,91120.68,2025-12-06
534,6681,349,11,21832.8,2025-11-29
535,4614,2311,14,429988.58,2024-08-03
536,3851,3476,13,365469.91,2026-04-15
537,7916,4910,9,369628.38,2025-12-11
538,7709,2620,10,120249.9,2024-02-09
539,5068,404,14,138677.84,2025-05-06
540,2090,2814,10,386935.6,2024-04-08
541,1458,1422,11,363419.98,2024-07-15
542,6190,745,5,56440.25,2025-05-30
543,2700,3173,8,169926.8,2025-07-06
544,3200,3004,6,200870.04,2024-09-05
545,6720,199,16,436429.92,2024-08-19
546,3607,2392,10,278212.0,2024-03-17
547,6124,3189,18,595329.48,2025-12-31
548,11,2933,17,319413.85,2024-09-14
549,7333,841,4,185543.72,2025-04-24
550,6408,4999,16,178827.84,2025-05-01
551,1059,1726,2,99636.7,2026-03-24
552,9792,2896,4,9834.08,2024-05-25
553,439,4293,20,388101.0,2025-09-04
554,2690,4586,15,475615.95,2024-01-12
555,8906,907,17,683212.15,2025-06-11
556,3306,2827,4,143444.96,2024-09-02
557,7926,2410,4,143409.8,2024-04-13
558,7894,3982,18,139244.76,2026-02-19
559,9372,4011,5,161191.6,2025-06-12
560,2297,890,20,828774.4,2025-10-07
561,3640,4014,13,594474.14,2026-03-10
562,4984,3076,8,75404.56,2026-05-25
563,2516,2691,9,123047.46,2024-03-02
564,9425,1469,14,362447.4,2025-04-29
565,3903,473,16,243569.44,2026-03-29
566,8367,1594,6,257250.06,2026-05-21
567,9898,3879,20,247819.4,2026-04-21
568,2850,4086,7,242923.73,2025-06-06
569,9940,3951,2,15618.6,2025-01-05
570,6151,2575,19,785350.94,2025-09-13
571,3600,3585,12,455376.48,2025-08-08
572,5922,550,19,129268.59,2026-02-14
573,4105,2954,11,229595.96,2024-04-16
574,3615,1058,18,310593.96,2024-10-28
575,1659,1622,19,626405.11,2026-05-06
576,8465,2322,4,170476.84,2024-03-04
577,6850,1288,2,65393.44,2024-06-14
578,7431,2989,2,31451.36,2024-10-15
579,7501,4230,1,10939.34,2025-05-21
580,5062,1736,7,213229.94,2025-04-11
581,67,3284,17,40393.36,2024-09-25
582,4921,92,9,182704.41,2026-02-23
583,1183,1645,3,87279.09,2025-10-18
584,1517,2756,2,87580.36,2024-12-07
585,2353,915,20,71636.6,2025-05-15
586,4754,1495,4,50174.08,2026-03-16
587,3520,660,20,635381.6,2025-02-27
588,4364,2672,15,27215.25,2024-11-23
589,4268,3837,7,342370.63,2026-02-13
590,5969,1622,2,34314.1,2025-12-02
591,9781,1336,8,349441.52,2026-05-26
592,2868,3126,13,267526.09,2026-01-14
593,1442,4814,12,76343.64,2024-01-05
594,2313,2323,14,70508.2,2024-12-12
595,8273,2710,13,452493.47,2024-04-19
596,5120,3287,20,648820.2,2025-08-29
597,5060,2383,10,488803.2,2025-12-18
598,3216,2887,19,623644.41,2026-02-11
599,6023,2030,13,580498.36,2025-04-06
600,9795,3311,11,143167.75,2026-01-12
601,8624,2712,3,51191.19,2026-02-15
602,5818,3359,12,97676.04,2026-05-13
603,117,294,18,243034.74,2025-02-05
604,8215,4273,17,462497.58,2025-05-17
605,1608,1887,18,888065.28,2026-06-01
606,721,4144,1,26063.1,2024-08-14
607,8947,2015,10,17792.2,2025-05-31
608,8676,3928,13,411712.34,2024-03-23
609,2887,2451,10,121654.8,2024-09-08
610,841,1684,3,140468.43,2025-07-27
611,3124,3684,13,43419.35,2024-09-24
612,3074,2916,18,98151.84,2025-04-08
613,8150,4470,9,155542.95,2024-11-28
614,3193,4461,4,118649.04,2024-11-01
615,5149,3953,13,522125.63,2025-12-30
616,1821,823,3,51862.02,2025-09-23
617,6393,1247,8,367651.76,2024-02-24
618,1283,1959,18,54227.34,2025-10-01
619,779,3342,17,348961.04,2024-11-10
620,6029,4780,6,162784.62,2025-03-30
621,3864,907,8,310880.16,2025-12-14
622,4892,3113,3,41585.61,2025-05-18
623,8754,3363,16,595747.52,2025-11-20
624,2597,3116,16,25083.36,2025-10-17
625,7877,3046,11,31227.46,2025-10-22
626,1877,192,12,179349.72,2025-10-31
627,1392,91,10,429428.8,2025-11-02
628,977,1690,19,660593.14,2025-02-02
629,739,2621,16,149492.48,2025-10-15
630,9640,2264,1,237.46,2024-05-20
631,5492,2199,8,201813.84,2025-01-07
632,5939,42,16,276888.64,2024-02-06
633,7681,3706,9,90944.82,2024-06-27
634,7010,2360,15,684627.15,2025-10-01
635,4402,1886,15,245928.9,2024-07-29
636,214,204,12,195237.36,2025-02-13
637,7562,1104,16,202083.52,2024-05-23
638,4827,775,6,111282.84,2026-06-04
639,403,2267,20,897891.2,2025-03-20
640,846,1185,4,37453.72,2025-04-20
641,5359,3814,9,332104.5,2026-03-03
642,1693,136,2,69058.82,2026-05-16
